,noise,muon,neutrino,dummy_pid,event_no
0,0.28741151094436646,0.27545666694641113,0.4371318221092224,-1.0,625.0
1,0.23137633502483368,0.2278955727815628,0.5407280921936035,1.0,20.0
2,0.07852809876203537,0.10117156058549881,0.8203003406524658,1.0,430.0
3,0.06567929685115814,0.12104269862174988,0.8132780194282532,12.0,850.0
4,0.2940943241119385,0.2801135182380676,0.42579221725463867,14.0,1270.0
5,0.16726669669151306,0.21163319051265717,0.621100127696991,14.0,1130.0
6,0.13250672817230225,0.13570387661457062,0.7317894101142883,-14.0,1480.0
7,0.19717013835906982,0.19878242909908295,0.604047417640686,-16.0,1980.0
8,0.3243020176887512,0.3379552662372589,0.3377426564693451,13.0,705.0
9,0.19251807034015656,0.20180882513523102,0.6056730151176453,-13.0,820.0
10,0.1930989921092987,0.22328880429267883,0.5836122035980225,13.0,670.0
11,0.05297213792800903,0.08140309900045395,0.8656247854232788,-13.0,765.0
12,0.32360029220581055,0.3391695022583008,0.33723020553588867,-13.0,740.0
